,valNNLoss,policyNNLoss,matching_rates
0,108850.64549091696,-0.31776017,49.24389839758719
1,107475.58582936852,-0.31246555,49.14015294152147
2,110135.2209666955,-0.31355903,49.40174023306817
3,106799.25945581896,-0.31009653,49.297122356192794
4,106788.3311360677,-0.29821756,49.203361670881186
5,104747.39827586207,-0.27388504,49.15187888670064
6,103387.2438365052,-0.27272162,49.259949027044016
7,102792.92028006056,-0.27675602,49.222135394012476
8,102418.59648840207,-0.27399758,49.47343408087765
9,103620.89221443965,-0.3212274,49.40745080334318
10,100365.962890625,-0.32103708,49.20345998293465
11,100307.86309267241,-0.32044855,49.453610508592284
12,99156.48638853093,-0.3198013,49.69874153782466
13,99621.04375,-0.32192236,49.56044424886126
14,98688.06420307093,-0.3218348,49.50505030457107
15,97677.89768318966,-0.3212783,49.37187442369013
16,96171.20215181661,-0.32207462,49.528152733972895
17,94589.01918103448,-0.3207006,49.50515412250677
18,96207.64178340517,-0.3223466,49.765684959016134
19,96182.71832044673,-0.32252073,49.957511997206524
20,93688.6891163793,-0.32171512,49.919502128488155
21,91910.0380387931,-0.32141384,49.669687265821764
22,92458.01344288792,-0.3222532,50.0444147992182
23,92308.26338900861,-0.32227674,49.7934722345519
24,92508.7108032646,-0.32283953,50.28351049883425
25,92782.89911099138,-0.3246591,50.48983663309819
26,91558.16766000859,-0.3236738,50.23067448483337
27,89403.63734965636,-0.32248947,50.146116300773755
28,88233.55331829897,-0.32210058,50.06504775124462
29,88227.4473599138,-0.32373092,50.41783260428587
30,88419.83545425258,-0.32390344,50.34787944078248
31,87239.08712284482,-0.32379133,50.150133007577466
32,86007.96610077855,-0.24300547,50.36104110849783
33,85516.8486093213,-0.27304164,50.50831722507515
34,84601.52957974139,-0.21437101,50.31791663341656
35,84901.87094609106,-0.32451934,50.527546066030226
36,84356.54878771551,-0.26677182,50.472381171823834
37,83020.64605860726,-0.265302,50.25493333923247
38,83736.48171713918,-0.32576963,50.73748878952672
39,82189.68153994845,-0.32495883,50.69228062423853
40,81362.37382277397,-0.25834823,50.62513973416226
41,80715.8915378007,-0.25633788,50.853288776948126
42,79602.66666666667,-0.21488744,50.806991997533906
43,79648.922895189,-0.32515165,50.99944763362831
44,79027.94859913793,-0.21018052,50.86805503624926
45,78299.4641213613,-0.18211754,51.211628988671364
46,77884.3424613402,-0.20451318,51.077771607214274
47,75924.46875,-0.32495868,50.57320341865573
48,76591.46233354812,-0.17567277,50.964211145998796
49,74726.27852909482,-0.19728053,50.670264044858726
50,75754.63361791238,-0.19567484,50.90463459055732
51,74493.59913793103,-0.32625815,50.6571035130195
52,73061.15780179795,-0.32418308,50.76714194160414
53,71682.15272090517,-0.18740092,50.53295586170073
54,72560.379751933,-0.3260839,50.82183152260801
55,71241.75271155499,-0.15865,50.823460059989856
56,71761.12922731164,-0.1820021,51.283793176189135
57,70796.15010775861,-0.22266746,50.85617754778541
58,69760.02767933848,-0.22099207,51.03713990884401
59,69793.64473191353,-0.17597654,51.00680632674599
60,68721.45891702586,-0.21702692,51.007681832863085
61,68469.62114726027,-0.32588062,51.113134073909606
62,66382.46242751289,-0.32525167,50.90645152510647
63,68005.36753651203,-0.2133512,51.2098456473474
64,66360.95990388746,-0.20939653,51.01591845941605
65,65701.9099823416,-0.3259093,51.31085393969149
66,66076.97007437928,-0.3263276,51.220716247621816
67,64685.84869970034,-0.32548705,51.13254030893362
68,65084.04225973887,-0.20274289,51.4178893721801
69,64190.732148570816,-0.32599157,51.399126367507414
70,63178.73433472938,-0.15599984,51.281246332441405
71,63115.283063139934,-0.3259657,51.31792425092532
72,62062.79671391752,-0.12929665,51.093924382844115
73,61461.59519974227,-0.15083869,51.22009954627474
74,60574.23638163527,-0.32571638,51.10043966903981
