,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,110348.96726319204,108329.32863862457,111005.52581639274,107658.6788523707,107643.38983832466,105588.22464978449,104222.29655060553,103620.83666738754,103275.844770189,104459.8653286638,101181.51608615452,101116.69668642241,99978.13426224227,100424.35530711207,99493.91884731835,98479.13782327586,96957.35864511246,95383.23343211207,96991.25824353448,97023.18723152921,94450.89568965517,92672.19339978449,93221.97281788793,93072.8130387931,93275.2022121993,93546.57599676723,92315.53385416667,90155.12524162371,88976.88925579897,88969.50018857759,89156.19700386598,87965.9564924569,86728.53752162629,86246.2591011598,85317.89517780172,85587.85703930413,85063.24102909483,83719.56839316609,84432.4692600945,82924.70648088488,82052.89758133562,81404.75174506014,80268.35403243128,80320.73311318729,79702.94043642242,78971.47557255992,78554.7392343213,76583.55843211207,77241.21109858247,75363.47077047414,76404.60918707044,75144.1450700431,73688.09174336473,72282.35026939656,73180.91320339347,71845.13826245704,72374.14747431508,71397.97664331897,70366.84687768471,70404.5251765839,69322.54299568966,69071.71578017979,66949.01479274055,68585.57264819587,66927.08126610825,66268.40559449914,66631.10833154965,65259.92991491866,65636.10005083476,64740.977229095566,63720.07945393041,63679.69275277304,62587.18775504725,61989.076863187285,61082.256541630995
1,109695.17246972318,108228.06552768165,110907.34975129757,107565.45379849138,107548.56108940972,105484.64199892241,104129.87727076125,103529.77500540657,103175.24865764605,104367.11893857758,101090.5782063802,101020.80660021551,99884.99677835051,100348.56355064655,99403.13600237889,98395.9208512931,96877.49618836505,95295.36753771552,96903.29151400863,96893.94362113402,94376.92543103448,92594.0033674569,93141.72691271552,92987.58669181034,93188.67939218214,93464.88370150862,92226.14782001718,90070.59082366839,88895.3897390464,88885.34695581897,89086.02550472508,87885.87421875,86646.46372188581,86171.21654853952,85235.22483836208,85542.81231207044,84983.17071659483,83640.17822772491,84339.8377362543,82834.95245382302,81966.94442958049,81318.56123818729,80266.34882409793,80246.34917310996,79624.80105064655,78877.24922410103,78475.2824044244,76508.77615840518,77169.43983569587,75309.74746767241,76323.74366408934,75064.90309806034,73615.61405714897,72214.03450969828,73119.66078715636,71777.10051546391,72295.53157106164,71328.0530711207,70286.50704735825,70320.0616973459,69230.87431303879,68999.63051155822,66876.03494147336,68519.76628275344,66860.67780820446,66206.83809128853,66571.58877354451,65164.46971318493,65573.23529805223,64674.90245040529,63658.3141645189,63605.78878252986,62526.23467031787,61944.80819104381,60964.51891588185
2,109560.64768057958,108137.63770544983,110810.52473507785,107467.89420797414,107456.25103081597,105393.2674838362,104036.53016868512,103441.58055795847,103080.87376503437,104273.14474676724,100999.83167860244,100930.40511853449,99791.64489368557,100253.17341056034,99313.79014381488,98316.6612338362,96785.83096345156,95213.63421336206,96819.96357758621,96815.90163230241,94299.27411099138,92507.88704202586,93051.68809267241,92902.21080280172,93107.39449097938,93376.92518857759,92159.77601481958,89986.12693298969,88811.620248067,88801.93337823276,89006.3116140464,87802.67815193966,86566.8260975346,86093.77273947594,85150.50587284483,85448.83421928695,84903.89178340517,83560.49086288927,84279.53879402921,82772.97358247422,81900.76626712328,81253.79537156357,80160.06907753437,80170.25977233677,79550.27227909483,78778.28801904965,78403.54657968214,76433.48019935345,77090.87618127148,75231.62664331896,76251.9536350945,74994.27928340517,73550.86148865582,72146.75078125,73044.1887886598,71704.0668492268,72231.06993792808,71259.83644935345,70224.25547680413,70290.17390839041,69195.18918372845,68923.82142283818,66815.70631980241,68454.36133483677,66798.97566312285,66142.07895440924,66504.80393835617,65118.99030126284,65509.534473994005,64611.058900383956,63597.506013745704,63542.8177127773,62462.80378812285,61888.4319292311,60917.702830693495
3,109451.96293793252,108042.53881920416,110714.98096885813,107371.68795797414,107351.18980577256,105310.85377155173,103937.28611591696,103342.12575692042,103010.06905068729,104180.21169181034,100908.98508029514,100838.71349676725,99698.44740657216,100166.20277478448,99224.70069204153,98216.64178340517,96695.11802551903,95127.06193426724,96712.03995150862,96722.95682989691,94197.44019396552,92423.62896012931,92964.22308728448,92817.04288793103,93016.65351159793,93299.15999461207,92063.29349226804,89902.57165485395,88731.75029531786,88722.25708512931,88922.71590420962,87717.59383081897,86486.53760272491,85995.57764175258,85079.85164331897,85374.5806754725,84824.05988685344,83482.54446907439,84174.72828071305,82729.36995274914,81832.90600920377,81172.41988831614,80019.55997637457,80095.60548217355,79476.30299030173,78732.61146190068,78325.52362542956,76359.64075969828,77021.92230455327,75161.15643857759,76179.50746348797,74923.75482219827,73477.32132919521,72095.1038523707,72974.53235073024,71650.31276847079,72156.27001284246,71193.45794719827,70166.39398088488,70226.38857823201,69153.41624461208,68856.68530607877,66752.72759611254,68387.81926546391,66735.12757731958,66075.17923266267,66435.18221586045,65034.732301476884,65450.36562232448,64552.15891638225,63536.74589239691,63486.12726642491,62405.67547250859,61798.94488294674,60876.12061215754
4,109338.76592236159,107946.67638948961,110618.93166089966,107274.31686422414,107261.86873372395,105205.79342672414,103845.50592019896,103253.1377324827,102892.14105455327,104087.5875,100818.40134006077,100753.9018049569,99606.3399108677,100066.86834590517,99134.93082288062,98151.29787176724,96605.97180471453,95045.31263469828,96651.06190732759,96609.2047895189,94111.03995150862,92328.60929418103,92881.08138469828,92731.80339439656,92933.7004402921,93207.4125,91980.10542847938,89819.28774699313,88651.39443728523,88636.87618534482,88843.78388101375,87643.59649784483,86407.52487024221,85922.75134235395,84998.08970905172,85279.66537800687,84746.82249461208,83408.94101427335,84105.182748067,82639.01659149484,81751.91398223459,81096.12650343643,79938.73022712629,80020.73152920962,79401.48079202586,78666.25296982021,78251.9491516323,76289.35420258621,76953.21958225945,75074.39552801724,76108.42160652921,74880.2872036638,73403.66002247432,72011.22920258621,72907.22978414949,71581.29762671821,72086.75077589897,71128.62873114223,70096.59836769759,70144.38853809932,69094.64683459052,68810.14617669092,66690.42909686426,68323.3198695232,66672.1297922036,66018.90317315924,66381.60873287672,64981.07326894264,65386.48699700343,64492.135732188566,63477.848582474224,63422.48630812713,62350.63137618127,61743.89783344072,60802.55092840325
5,109247.75924524221,107851.99578287198,110519.7057201557,107181.88709590517,107166.91853841145,105117.61745689655,103758.03876513841,103163.2433499135,102810.16425042956,103994.85110452586,100727.86404079861,100655.02648168104,99520.05691580757,99981.74310344827,99045.85994269031,98036.34286099138,96526.37610834774,94938.83068426725,96542.66637931035,96556.31872852234,94038.50115840517,92254.15161637931,92794.20183189656,92647.18157327586,92847.05412371134,93124.56085668104,91887.28933097079,89735.89902813574,88573.19421176976,88555.40393318965,88753.87457044673,87564.08997844828,86327.88475886678,85856.69456078179,84925.74466594828,85229.00496670962,84666.70463362068,83332.17046929066,84031.89215528351,82545.37387242269,81664.16489190924,81030.0345790378,79824.09005852664,79946.19861469071,79324.24027478449,78569.80078125,78180.66999570446,76216.41551724137,76877.22645511168,75003.37823275862,76038.44117804983,74792.54498922414,73333.65857769692,71951.22551185345,72843.27145081614,71517.66280068729,72019.16055757705,71060.21707974139,70030.10925418814,70092.66790186215,68997.42486530173,68727.79639340754,66623.38561801976,68260.84012564433,66607.016470683,65955.73096372004,66324.24349850172,64934.15402932363,65326.52725010702,64431.89485121587,63416.97699205326,63360.574045435154,62292.596944802404,61734.98057613832,60813.318078446064
6,109144.38002811419,107753.32593533737,110424.16725237889,107090.5640625,107074.54494900173,105018.32613146551,103661.93612132352,103068.35994269031,102715.64602126289,103900.60633081896,100637.26722547744,100555.3609375,99429.64733676976,99866.86077586206,98956.71153222318,97969.52596982759,96433.96096453287,94856.45762392241,96441.32545797413,96460.87432882302,93936.19991918103,92155.0322737069,92706.80638469827,92562.28609913793,92763.31572164949,93036.9299838362,91826.67139175258,89652.6891645189,88491.06794995704,88475.93289331897,88677.85623389175,87481.2893588362,86246.3885975346,85754.72645511168,84838.35325969827,85129.09525343643,84588.42454202587,83252.25094615053,83961.31376181271,82467.542123067,81581.37002354451,80943.2647390464,79849.96923324742,79871.3446359536,79249.76473599138,78510.15418985445,78105.60008591066,76149.59366918103,76802.9015249141,74927.83138469828,75966.8069963488,74681.0879849138,73262.31876070205,71874.44536637931,72762.08161512027,71406.11031464777,71949.91363441781,70994.20700431034,69961.92543223797,70019.89426369863,68932.6446255388,68678.37410370291,66565.26900773196,68197.9952749141,66545.67069372852,65895.20660316781,66253.72198737158,64881.07037938784,65264.41420965325,64368.573845456485,63356.00291290807,63307.825751919794,62234.423781142614,61600.089078608245,60766.16327322346
7,109047.10202205883,107657.6774708045,110328.78846777682,106986.73114224138,106979.6403266059,104928.18679956897,103572.59120891003,102974.96618187716,102630.05742590207,103808.58817349139,100546.7149251302,100481.45622306035,99338.97905927835,99794.27238685345,98865.9353644031,97877.54315732759,96341.27543793252,94792.99682112069,96359.01438577587,96374.95070876289,93849.25193965517,92077.33884698276,92624.5786637931,92477.19606681034,92676.39000751718,92952.55425646552,91728.72634772336,89569.50877899484,88400.57796391753,88390.48238146551,88585.80522444157,87399.6976023707,86168.0178416955,85682.56123818729,84765.26096443966,85068.74876503437,84509.2432112069,83178.84345263841,83888.17753973368,82348.63348367698,81513.42281142979,80864.522417311,79760.39175257731,79797.11541559278,79176.10401400863,78402.92679794521,78033.57866194157,76074.82359913793,76739.30299613402,74862.4442349138,75892.83569587629,74642.03793103449,73193.88511344178,71803.41204202586,72703.07906464777,71369.47068298969,71888.43311215754,70928.24674030172,69894.41682774914,69946.49221425514,68885.65480872845,68629.29720943922,66500.31099656357,68133.8381121134,66483.84933419243,65832.48405393836,66180.7150979238,64801.07581068065,65202.61891320634,64310.7698912116,63300.41604918385,63233.27914355802,62173.70703125,61610.443017074744,60613.14808968322
8,108943.75045955883,107560.83080125433,110231.78400735294,106895.57715517242,106883.02932400173,104827.82179418103,103476.12916306229,102878.00302768165,102560.7769007732,103714.0484913793,100456.30810546875,100401.50013469828,99249.53406894329,99701.00404094828,98776.82755730969,97785.65032327586,96253.87848724048,94685.74493534483,96288.64304956897,96265.5279209622,93782.65175107759,91993.33103448276,92537.99458512932,92392.91004849138,92594.10583118557,92865.6749461207,91630.51570554124,89486.40203500859,88321.63445017183,88309.25220905173,88506.43835910653,87315.96320043104,86087.81652789793,85585.01932989691,84686.35455280173,84950.47782431271,84433.59671336207,83097.05741782006,83794.01567869415,82267.47226696735,81435.97953232021,80800.61447594501,79703.10583118557,79722.00483247422,79101.76452047414,78387.03892872432,77959.91612972508,75997.44426185345,76661.97304553265,74783.59453125,75825.0117858677,74567.36791487069,73121.30709546233,71743.35681573275,72627.8133859536,71293.88136275773,71830.30827268836,70860.71839978448,69839.2921499141,69892.31074753853,68809.38946659483,68537.2003692209,66438.63137618128,68069.21524645618,66421.58466226375,65769.1520494435,66126.35462596318,64748.67543343322,65142.41055757705,64254.73800127986,63235.98403941151,63177.99184087031,62117.432627255155,61561.024054982816,60578.646618150684
9,108850.64549091696,107475.58582936852,110135.2209666955,106799.25945581896,106788.3311360677,104747.39827586207,103387.2438365052,102792.92028006056,102418.59648840207,103620.89221443965,100365.962890625,100307.86309267241,99156.48638853093,99621.04375,98688.06420307093,97677.89768318966,96171.20215181661,94589.01918103448,96207.64178340517,96182.71832044673,93688.6891163793,91910.0380387931,92458.01344288792,92308.26338900861,92508.7108032646,92782.89911099138,91558.16766000859,89403.63734965636,88233.55331829897,88227.4473599138,88419.83545425258,87239.08712284482,86007.96610077855,85516.8486093213,84601.52957974139,84901.87094609106,84356.54878771551,83020.64605860726,83736.48171713918,82189.68153994845,81362.37382277397,80715.8915378007,79602.66666666667,79648.922895189,79027.94859913793,78299.4641213613,77884.3424613402,75924.46875,76591.46233354812,74726.27852909482,75754.63361791238,74493.59913793103,73061.15780179795,71682.15272090517,72560.379751933,71241.75271155499,71761.12922731164,70796.15010775861,69760.02767933848,69793.64473191353,68721.45891702586,68469.62114726027,66382.46242751289,68005.36753651203,66360.95990388746,65701.9099823416,66076.97007437928,64685.84869970034,65084.04225973887,64190.732148570816,63178.73433472938,63115.283063139934,62062.79671391752,61461.59519974227,60574.23638163527
