,1,2,3,4,5
0,0.5407243371009827,0.24701572954654694,0.3503340184688568,0.526785671710968,0.35898685455322266
1,1.0276626348495483,0.48141591250896454,0.6987775266170502,1.0409361124038696,0.714379221200943
2,1.467884749174118,0.708341047167778,1.0457516312599182,1.5473819375038147,1.0692646205425262
3,1.868618369102478,0.9323244839906693,1.3912586271762848,2.0503825545310974,1.4246096014976501
4,2.2370313107967377,1.1560743600130081,1.7358429431915283,2.552998125553131,1.7796877324581146
5,2.580002784729004,1.3800282925367355,2.0798257887363434,3.0566996932029724,2.1339425146579742
6,2.903901070356369,1.6033470332622528,2.423159211874008,3.5615424513816833,2.4874144792556763
7,3.214379072189331,1.825113445520401,2.765835613012314,4.066826939582825,2.840483605861664
8,3.5162070095539093,2.0449034720659256,3.108006775379181,4.571732759475708,3.193506568670273
9,3.8131637275218964,2.2628523260354996,3.449813336133957,5.075669229030609,3.5465814769268036
