,valNNLoss,policyNNLoss,matching_rates
0,1215204.2,-0.31000286,48.96383583376665
1,39890028.0,-0.28292772,49.013278847891414
2,633054100.0,-0.23591809,48.99144705320447
3,93721.74,-0.2958624,49.3582213628288
4,90241.05,-0.2882339,49.213359779296034
5,86653.33,-0.2737208,48.95572929817067
6,87185.01,-0.27620837,49.17145861953912
7,83032.695,-0.27138272,49.08386462411758
8,86012.61,-0.27087393,49.535934089121504
9,63511.004,-0.26404452,49.45552864660739
10,75420.555,-0.26174676,49.578892785286286
11,123307.68,-0.24543804,49.37887671095389
12,83917.81,-0.25182408,49.687950329582094
13,73883.13,-0.257295,49.456237927670315
14,61296.992,-0.25596496,49.587828176947085
15,94056.01,-0.23509315,49.5274621491643
16,141353.08,-0.173758,49.874607577476056
17,6326338600.0,-0.32157192,49.64416709131681
18,12449248000.0,-0.32128218,49.88663212837465
19,8804367000.0,-0.13722888,49.57854516962805
20,22521584000.0,-0.049407538,49.827863348142
21,254015740.0,-0.12699835,49.97646886869475
22,15581178000.0,-0.043829363,49.990923964555165
23,137468.72,-0.1174329,49.85096981871937
24,33537920000.0,-0.040254414,49.8859110721119
25,136766.14,-0.07125669,50.23909355568964
26,36784680000.0,-0.03801023,49.826020576677784
27,112234.67,-0.06599885,50.07569800924025
28,46874493000.0,-0.033601753,49.962404701840526
29,91577.78,-0.061457727,49.76106428648737
30,49177833000.0,-0.032592587,50.244754709855286
31,142138.27,-0.057839345,49.848388398096674
32,62383882000.0,-0.030514233,50.023502867920136
33,301951.84,-0.05457913,49.946130184502564
34,69963014000.0,-0.029377522,50.33353072286838
35,191581.02,-0.051709615,50.09047530401991
36,76284486000.0,-0.026625533,50.201600360317606
37,142177.12,-0.04942245,50.468213002076354
38,86438350000.0,-0.027114438,50.38607621674291
39,509906.56,-0.04678957,50.40213295663599
40,98584674000.0,-0.023089785,50.38992779561351
41,242760.75,-0.04451979,50.26380443474916
42,113838990000.0,-0.02319202,50.28336598593628
43,316712.0,-0.04270307,50.240562960700515
44,121413520000.0,-0.023174489,50.193010935803166
45,216893.84,-0.040645592,50.24166934224322
46,130512550000.0,-0.021699114,49.878128174377274
47,272864.72,-0.039185297,50.37668857371383
48,141646280000.0,-0.020783164,50.367690345882046
49,467082.38,-0.03799324,50.19482832006063
50,142693830000.0,-0.019992463,50.176358840957654
51,391211.0,-0.037146002,50.24799433172883
52,159113770000.0,-0.01957805,50.11685486695517
53,330099.44,-0.32186127,50.13031705792429
54,162038900000.0,-0.018460164,50.4458808438706
55,452463.25,-0.03961081,50.46108264013748
56,64518530000.0,-0.019238664,50.45935190231908
57,382812.78,-0.3208717,50.438224700644135
58,176606230000.0,-0.018228093,50.449853459801005
59,525824.5,-0.059959125,50.53792918895531
60,109562210000.0,-0.017617349,50.522447882652486
61,590640.1,-0.2863957,50.32193192933319
62,187481470000.0,-0.016643045,50.395733453026594
63,463086.34,-0.2710622,50.258615623712046
64,179148230000.0,-0.016884172,50.378473701614126
65,439806.94,-0.044363864,50.5910696908381
66,84001520000.0,-0.016818456,50.590446093595475
67,587694.25,-0.030209111,50.37805166565995
68,40389320000.0,-0.016752569,50.20330633208273
69,626981.25,-0.030512579,50.36823643856653
70,52762026000.0,-0.016291393,50.35292163301625
71,570401.0,-0.052606083,50.64695816798222
72,83234200000.0,-0.015614869,50.43779276047242
73,776845.56,-0.028388614,50.58364862753352
74,11002329000.0,-0.015429071,50.26483779975534
