,valNNLoss,policyNNLoss,matching_rates
0,831859.4,-0.31249467,48.940600170980424
1,98653.02,-0.2996639,48.80266296747614
2,99092.68,-0.29189026,49.31188494638137
3,88044.96,-0.3196733,49.34986648723767
4,1037044.0,-0.32077178,49.22557710732059
5,2117435500.0,-0.3206593,49.36103834836682
6,1671636600.0,-0.30313155,49.37675947782768
7,1284839300.0,-0.3210848,49.11926743583263
8,4004197000.0,-0.27681834,49.20170118071892
9,735805400.0,-0.3194203,49.296144359306524
10,4898867700.0,-0.29027498,49.182977572639665
11,2572567600.0,-0.32026374,49.56448302010794
12,5980718000.0,-0.27304298,49.47231341608677
13,2451823900.0,-0.31871715,49.380001503226495
14,8273289000.0,-0.27491075,49.69792323418252
15,4466262500.0,-0.31714758,49.665309677229125
16,9385119000.0,-0.2710559,49.63727795815068
17,5931304400.0,-0.3195414,49.6080077127499
18,16274716000.0,-0.24133635,49.8353486174628
19,6286577000.0,-0.26457825,49.88158610163269
20,8546892300.0,-0.2609606,49.67688916760826
21,9189222000.0,-0.17289357,49.82441414558701
22,762937000.0,-0.28922498,49.98954204597215
23,12378622000.0,-0.17460704,50.1554023662754
24,1106703100.0,-0.28123525,50.29333635176778
25,11793297000.0,-0.14618924,50.16115108230087
26,3679086000.0,-0.2654126,50.331406784132895
27,19981347000.0,-0.122849934,49.86882270702666
28,4736220000.0,-0.2676117,50.1946585370234
29,22434425000.0,-0.13879089,50.40217098853141
30,5853809000.0,-0.2718225,50.67024147118556
31,25022073000.0,-0.13444677,50.325940105822646
32,9391316000.0,-0.23509057,50.609266892492954
33,30232097000.0,-0.14884748,50.41077537426614
34,8827846000.0,-0.24871834,50.5438476302067
35,34428990000.0,-0.13962251,50.431750387742525
36,11049449000.0,-0.22907254,50.680039613459066
37,39581233000.0,-0.14011684,50.48367884357456
38,10840389000.0,-0.23468061,50.771855356036525
39,45417250000.0,-0.12601082,50.45296280501136
40,13238261000.0,-0.22652605,50.57713802227198
41,52971600000.0,-0.12994392,50.52269593253919
42,14203745000.0,-0.21816657,50.848356208012255
43,57080790000.0,-0.1178853,50.63693737468177
44,14852413000.0,-0.21651058,50.65739202046842
45,65436140000.0,-0.13470519,50.39385894902905
46,20284960000.0,-0.22749887,50.725133802067994
47,75590010000.0,-0.13736895,50.87940305181758
48,18747650000.0,-0.21327987,50.483273793137215
49,75871270000.0,-0.12465178,50.9077492359668
50,24173808000.0,-0.19664176,50.71735843102683
51,76364270000.0,-0.13575432,50.66227119186987
52,41810145000.0,-0.156712,50.724343091224775
53,77650170000.0,-0.17584307,50.95916454737758
54,55378280000.0,-0.13900875,50.685788405812225
55,82372930000.0,-0.14705892,50.84992968669943
56,51002528000.0,-0.15098041,50.75050093280474
57,92013200000.0,-0.12763031,51.11646856219476
58,48177476000.0,-0.1568792,51.01490159849973
59,97349660000.0,-0.1268909,50.79188742526675
60,32876798000.0,-0.17781188,50.916629221717265
61,113396105000.0,-0.101446874,51.08619940372363
62,37177410000.0,-0.16612613,51.10114176640988
63,126851604000.0,-0.08897781,50.528872499817886
64,30831778000.0,-0.17386694,50.76545608133568
65,137119650000.0,-0.08314906,51.21470116014154
66,33962721000.0,-0.17392243,50.55855585289978
67,100591430000.0,-0.08326712,50.918038707776034
68,39780225000.0,-0.171211,51.09655132114228
69,144763420000.0,-0.08535614,51.159044573735926
70,47646646000.0,-0.15178126,51.37521025595402
71,150460610000.0,-0.09065099,51.06826919257505
72,53598130000.0,-0.15082955,51.25212044644425
73,151004000000.0,-0.1065622,51.002930564771376
74,92772420000.0,-0.12170663,51.385159018407684
